,Name,NOC,Discipline,country,lat,lon
0,AALERUD Katrine,Norway,Cycling Road,Norway,60.5000209,9.0999715
1,ABELVIK ROED Magnus,Norway,Handball,Norway,60.5000209,9.0999715
2,BERGERUD Torbjoern,Norway,Handball,Norway,60.5000209,9.0999715
3,BJOERNSEN Kristian,Norway,Handball,Norway,60.5000209,9.0999715
4,BLUMMENFELT Kristian,Norway,Triathlon,Norway,60.5000209,9.0999715
5,BORCH Kjetil,Norway,Rowing,Norway,60.5000209,9.0999715
6,BORGLI Stine,Norway,Cycling Road,Norway,60.5000209,9.0999715
7,BRATTSET DALE Kari,Norway,Handball,Norway,60.5000209,9.0999715
8,BREDAL OFTEDAL Stine,Norway,Handball,Norway,60.5000209,9.0999715
9,BREISTOEL Kristine,Norway,Handball,Norway,60.5000209,9.0999715
10,BRUN Kristoffer,Norway,Rowing,Norway,60.5000209,9.0999715
11,CHRISTIANSEN Henrik,Norway,Swimming,Norway,60.5000209,9.0999715
12,DAFFINRUD Tonje Frydenberg,Norway,Golf,Norway,60.5000209,9.0999715
13,DUESTAD Jeanette Hegg,Norway,Shooting,Norway,60.5000209,9.0999715
14,ERICHSEN Julie,Norway,Artistic Gymnastics,Norway,60.5000209,9.0999715
15,FLEM HOEST Line,Norway,Sailing,Norway,60.5000209,9.0999715
16,FOSS Tobias S.,Norway,Cycling Road,Norway,60.5000209,9.0999715
17,FRAFJORD Marit Malm,Norway,Handball,Norway,60.5000209,9.0999715
18,FREDRIKSEN Magnus,Norway,Handball,Norway,60.5000209,9.0999715
19,FUNNEMARK Endre,Norway,Sailing,Norway,60.5000209,9.0999715
20,GRINDHEIM Andre Klippenberg,Norway,Swimming,Norway,60.5000209,9.0999715
21,GROVDAL Karoline Bjerkeli,Norway,Athletics,Norway,60.5000209,9.0999715
22,GULLERUD Magnus,Norway,Handball,Norway,60.5000209,9.0999715
23,GULLIKSEN Geir,Norway,Equestrian,Norway,60.5000209,9.0999715
24,GULLIKSEN Kevin,Norway,Handball,Norway,60.5000209,9.0999715
25,GUTTORMSEN Sondre,Norway,Athletics,Norway,60.5000209,9.0999715
26,HAEGSTAD Erik,Norway,Cycling Mountain Bike,Norway,60.5000209,9.0999715
27,HAUKENES Havard,Norway,Athletics,Norway,60.5000209,9.0999715
28,HEGG Jon-Hermann,Norway,Shooting,Norway,60.5000209,9.0999715
29,HEGGEMSNES Sofus,Norway,Artistic Gymnastics,Norway,60.5000209,9.0999715
30,HELSETH Martin,Norway,Rowing,Norway,60.5000209,9.0999715
31,HELVIG Jan Oscar Stabe,Norway,Rowing,Norway,60.5000209,9.0999715
32,HENRIKSEN Eivind,Norway,Athletics,Norway,60.5000209,9.0999715
33,HERREM Camilla,Norway,Handball,Norway,60.5000209,9.0999715
34,HOELGAARD Markus,Norway,Cycling Road,Norway,60.5000209,9.0999715
35,HOVLAND Viktor,Norway,Golf,Norway,60.5000209,9.0999715
36,HVAS Tomoe,Norway,Swimming,Norway,60.5000209,9.0999715
37,HYNNE Hedda,Norway,Athletics,Norway,60.5000209,9.0999715
38,IDEN Gustav,Norway,Triathlon,Norway,60.5000209,9.0999715
39,INGEBRIGTSEN Filip,Norway,Athletics,Norway,60.5000209,9.0999715
40,INGEBRIGTSEN Jakob,Norway,Athletics,Norway,60.5000209,9.0999715
41,IUEL Amalie,Norway,Athletics,Norway,60.5000209,9.0999715
42,JACOBSEN Marit,Norway,Handball,Norway,60.5000209,9.0999715
43,JOENDAL Magnus,Norway,Handball,Norway,60.5000209,9.0999715
44,JOHANNESSEN Tobias Halland,Norway,Cycling Road,Norway,60.5000209,9.0999715
45,JOHANSEN Vilde Ingeborg,Norway,Handball,Norway,60.5000209,9.0999715
46,KLOSTER Line,Norway,Athletics,Norway,60.5000209,9.0999715
47,KRISTIANSEN Veronica,Norway,Handball,Norway,60.5000209,9.0999715
48,LARSEN Henrik,Norway,Shooting,Norway,60.5000209,9.0999715
49,LEKNESSUND Andreas,Norway,Cycling Road,Norway,60.5000209,9.0999715
50,LOEYNING Ingeborg,Norway,Swimming,Norway,60.5000209,9.0999715
51,LUNDE Katrine,Norway,Handball,Norway,60.5000209,9.0999715
52,MARTINSEN Nicholas Fadler,Norway,Sailing,Norway,60.5000209,9.0999715
53,MILLER Lotte,Norway,Triathlon,Norway,60.5000209,9.0999715
54,MOEN Sondre Nordstad,Norway,Athletics,Norway,60.5000209,9.0999715
55,MOERK Nora,Norway,Handball,Norway,60.5000209,9.0999715
56,MOL Anders Berntsen,Norway,Beach Volleyball,Norway,60.5000209,9.0999715
57,MORTENSEN Martine Steller,Norway,Sailing,Norway,60.5000209,9.0999715
58,MYRHOL Bjarte,Norway,Handball,Norway,60.5000209,9.0999715
59,NAESS Helene,Norway,Sailing,Norway,60.5000209,9.0999715
60,NAVRESTAD Tore,Norway,Cycling BMX Racing,Norway,60.5000209,9.0999715
61,NORDAS Narve Gilje,Norway,Athletics,Norway,60.5000209,9.0999715
62,O'SULLIVAN Christian,Norway,Handball,Norway,60.5000209,9.0999715
63,OEVERBY Petter,Norway,Handball,Norway,60.5000209,9.0999715
64,ORDEMANN Richard Andre,Norway,Taekwondo,Norway,60.5000209,9.0999715
65,PEDERSEN Anders Oestre,Norway,Sailing,Norway,60.5000209,9.0999715
66,PETTERSEN Simen,Norway,Handball,Norway,60.5000209,9.0999715
67,REINKIND Harald,Norway,Handball,Norway,60.5000209,9.0999715
68,REISTAD Henny,Norway,Handball,Norway,60.5000209,9.0999715
69,RETZIUS Lene Onsrud,Norway,Athletics,Norway,60.5000209,9.0999715
70,ROE Martin,Norway,Athletics,Norway,60.5000209,9.0999715
71,ROENNINGEN Marie,Norway,Sailing,Norway,60.5000209,9.0999715
72,SAEVERAAS Kristian,Norway,Handball,Norway,60.5000209,9.0999715
73,SAGOSEN Sander,Norway,Handball,Norway,60.5000209,9.0999715
74,SKOGRAND Stine,Norway,Handball,Norway,60.5000209,9.0999715
75,SOLBAKKEN Erik Andre,Norway,Rowing,Norway,60.5000209,9.0999715
76,SOLBERG ISAKSEN Sanna,Norway,Handball,Norway,60.5000209,9.0999715
77,SOLBERG Silje,Norway,Handball,Norway,60.5000209,9.0999715
78,SORUM Christian Sandlie,Norway,Beach Volleyball,Norway,60.5000209,9.0999715
79,STENBERG Anita Yvonne,Norway,Cycling Track,Norway,60.5000209,9.0999715
80,STENE Jenny,Norway,Shooting,Norway,60.5000209,9.0999715
81,STORNES Casper,Norway,Triathlon,Norway,60.5000209,9.0999715
82,STRANDLI Are Weierholt,Norway,Rowing,Norway,60.5000209,9.0999715
83,STUNES ISENE Ola,Norway,Athletics,Norway,60.5000209,9.0999715
84,TOENNESEN Kent Robin,Norway,Handball,Norway,60.5000209,9.0999715
85,TOMAC Marta,Norway,Handball,Norway,60.5000209,9.0999715
86,TOMASGAARD Hermann,Norway,Sailing,Norway,60.5000209,9.0999715
87,TUFTE Olaf Karl,Norway,Rowing,Norway,60.5000209,9.0999715
88,TUXEN Anne,Norway,Diving,Norway,60.5000209,9.0999715
89,ULLVANG Lars Magne,Norway,Canoe Sprint,Norway,60.5000209,9.0999715
90,WARHOLM Karsten,Norway,Athletics,Norway,60.5000209,9.0999715
91,WATNDAL Erik,Norway,Shooting,Norway,60.5000209,9.0999715
92,ABAD Nestor,Spain,Artistic Gymnastics,Spain,39.3260685,-4.8379791
93,ABALDE Alberto,Spain,Basketball,Spain,39.3260685,-4.8379791
94,ABALDE Tamara,Spain,Basketball,Spain,39.3260685,-4.8379791
95,ABIAN Pablo,Spain,Badminton,Spain,39.3260685,-4.8379791
96,ABRINES REDONDO Alejandro,Spain,Basketball,Spain,39.3260685,-4.8379791
97,AGUINAGALDE AQUIZU Julen,Spain,Handball,Spain,39.3260685,-4.8379791
98,AGUIRRE Unai,Spain,Water Polo,Spain,39.3260685,-4.8379791
99,ALARZA Fernando,Spain,Triathlon,Spain,39.3260685,-4.8379791
100,ALEGRE BIOSCA David,Spain,Hockey,Spain,39.3260685,-4.8379791
101,ALONSO Alejandro,Spain,Hockey,Spain,39.3260685,-4.8379791
102,ALVAREZ AZNAR Eduardo,Spain,Equestrian,Spain,39.3260685,-4.8379791
103,ANDUJAR Pablo,Spain,Tennis,Spain,39.3260685,-4.8379791
104,ARCE Daniel,Spain,Athletics,Spain,39.3260685,-4.8379791
105,ARCOS POVEDA Paula,Spain,Handball,Spain,39.3260685,-4.8379791
106,ARENAS Julio,Spain,Athletics,Spain,39.3260685,-4.8379791
107,AREVALO ALCON Alberto,Spain,Diving,Spain,39.3260685,-4.8379791
108,AREVALO Carlos,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
109,ARNAUS Adri,Spain,Golf,Spain,39.3260685,-4.8379791
110,AZURMENDI Clara,Spain,Badminton,Spain,39.3260685,-4.8379791
111,BACH Marta,Spain,Water Polo,Spain,39.3260685,-4.8379791
112,BADOSA Paula,Spain,Tennis,Spain,39.3260685,-4.8379791
113,BALASTEGUI Manel,Spain,Rowing,Spain,39.3260685,-4.8379791
114,BAQUERIZO McMILLAN Elsa,Spain,Beach Volleyball,Spain,39.3260685,-4.8379791
115,BARCELO MARTIN Paula,Spain,Sailing,Spain,39.3260685,-4.8379791
116,BARRIOS NAVARRO Laura,Spain,Hockey,Spain,39.3260685,-4.8379791
117,BASTERRA Jose Maria,Spain,Hockey,Spain,39.3260685,-4.8379791
118,BECHDEJU Laura,Spain,Artistic Gymnastics,Spain,39.3260685,-4.8379791
119,BELMONTE Mireia,Spain,Swimming,Spain,39.3260685,-4.8379791
120,BELTRAN MIR Albert,Spain,Hockey,Spain,39.3260685,-4.8379791
121,BEN Adrian,Spain,Athletics,Spain,39.3260685,-4.8379791
122,BEN DAOUD Hamid,Spain,Athletics,Spain,39.3260685,-4.8379791
123,BENEDETTI Julia,Spain,Skateboarding,Spain,39.3260685,-4.8379791
124,BENITEZ Andrea,Spain,Skateboarding,Spain,39.3260685,-4.8379791
125,BERNABEU Maria,Spain,Judo,Spain,39.3260685,-4.8379791
126,BESTUE Jael,Spain,Athletics,Spain,39.3260685,-4.8379791
127,BOKESA Aauri Lorena,Spain,Athletics,Spain,39.3260685,-4.8379791
128,BOLTO Marc,Spain,Hockey,Spain,39.3260685,-4.8379791
129,BONASTRE PEREMATEU Berta,Spain,Hockey,Spain,39.3260685,-4.8379791
130,BOTIN le CHEVER Diego,Spain,Sailing,Spain,39.3260685,-4.8379791
131,BUENO Laura,Spain,Athletics,Spain,39.3260685,-4.8379791
132,BUSTOS SANCHEZ Alejandro,Spain,Water Polo,Spain,39.3260685,-4.8379791
133,CABANA PEREZ Cristina,Spain,Judo,Spain,39.3260685,-4.8379791
134,CABRAL BARBOSA Alexandrina,Spain,Handball,Spain,39.3260685,-4.8379791
135,CACERES Eusebio,Spain,Athletics,Spain,39.3260685,-4.8379791
136,CANALEJO PAZOS Jaime,Spain,Rowing,Spain,39.3260685,-4.8379791
137,CANO RUIZ Carmen,Spain,Hockey,Spain,39.3260685,-4.8379791
138,CANTERO REINA Patricia,Spain,Sailing,Spain,39.3260685,-4.8379791
139,CARBALLES BAENA Roberto,Spain,Tennis,Spain,39.3260685,-4.8379791
140,CARBONELL BALLESTERO Ona,Spain,Artistic Swimming,Spain,39.3260685,-4.8379791
141,CARDONA MENDEZ Joan,Spain,Sailing,Spain,39.3260685,-4.8379791
142,CARRERA QUINTANA Raquel,Spain,Basketball,Spain,39.3260685,-4.8379791
143,CARRO Fernando,Spain,Athletics,Spain,39.3260685,-4.8379791
144,CASAS Queralt,Spain,Basketball,Spain,39.3260685,-4.8379791
145,CASILLAS GARCIA Miriam,Spain,Triathlon,Spain,39.3260685,-4.8379791
146,CASTELLANOS SOANEZ Mercedes,Spain,Handball,Spain,39.3260685,-4.8379791
147,CASTRO Daniel,Spain,Archery,Spain,39.3260685,-4.8379791
148,CAZORLA MEDINA Maria Teresa,Spain,Basketball,Spain,39.3260685,-4.8379791
149,CEBALLOS Dani,Spain,Football,Spain,39.3260685,-4.8379791
150,CEREZO IGLESIAS Adriana,Spain,Taekwondo,Spain,39.3260685,-4.8379791
151,CESAREO ROMERO Elisabet,Spain,Handball,Spain,39.3260685,-4.8379791
152,CHOURRAUT Maialen,Spain,Canoe Slalom,Spain,39.3260685,-4.8379791
153,CID Aina,Spain,Rowing,Spain,39.3260685,-4.8379791
154,CIENFUEGOS Javier,Spain,Athletics,Spain,39.3260685,-4.8379791
155,CLAVER Victor,Spain,Basketball,Spain,39.3260685,-4.8379791
156,CONDE Maria,Spain,Basketball,Spain,39.3260685,-4.8379791
157,CONTRERAS Isabel,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
158,CORCHETE Luis Manuel,Spain,Athletics,Spain,39.3260685,-4.8379791
159,CORRALES RODAL Rodrigo,Spain,Handball,Spain,39.3260685,-4.8379791
160,CORTES JUNCOSA Francisco,Spain,Hockey,Spain,39.3260685,-4.8379791
161,CRAVIOTTO Saul,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
162,CUBELOS Francisco,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
163,CUCURELLA Marc,Spain,Football,Spain,39.3260685,-4.8379791
164,CULLELL ESTAPE Jofre,Spain,Cycling Mountain Bike,Spain,39.3260685,-4.8379791
165,DAVIDOVICH FOKINA Alejandro,Spain,Tennis,Spain,39.3260685,-4.8379791
166,de TORO DOMINGUEZ Miguel,Spain,Water Polo,Spain,39.3260685,-4.8379791
167,de VELASCO Ines,Spain,Archery,Spain,39.3260685,-4.8379791
168,DELAS de ANDRES Miguel,Spain,Hockey,Spain,39.3260685,-4.8379791
169,DIALLO Thierno,Spain,Artistic Gymnastics,Spain,39.3260685,-4.8379791
170,DIAZ RIVAS Virginia,Spain,Rowing,Spain,39.3260685,-4.8379791
171,DOMINGUEZ Silvia,Spain,Basketball,Spain,39.3260685,-4.8379791
172,DUJSHEBAEV DOVICHEBAEVA Alex,Spain,Handball,Spain,39.3260685,-4.8379791
173,ELOSEGI Ander,Spain,Canoe Slalom,Spain,39.3260685,-4.8379791
174,ENTRERRIOS RODRIGUEZ Raul,Spain,Handball,Spain,39.3260685,-4.8379791
175,ERTA Bernat,Spain,Athletics,Spain,39.3260685,-4.8379791
176,ESCOBAR MASCUNANO Gabriel,Spain,Boxing,Spain,39.3260685,-4.8379791
177,ESPAR LLAQUET Anna,Spain,Water Polo,Spain,39.3260685,-4.8379791
178,ESPAR LLAQUET Clara,Spain,Water Polo,Spain,39.3260685,-4.8379791
179,ESTER RAMOS Laura,Spain,Water Polo,Spain,39.3260685,-4.8379791
180,EZZAYDOUNI Ibrahim,Spain,Athletics,Spain,39.3260685,-4.8379791
181,FAMERA Martin,Spain,Water Polo,Spain,39.3260685,-4.8379791
182,FERNANDEZ Alberto,Spain,Shooting,Spain,39.3260685,-4.8379791
183,FERNANDEZ Alvaro,Spain,Football,Spain,39.3260685,-4.8379791
184,FERNANDEZ FRAGA Alicia,Spain,Handball,Spain,39.3260685,-4.8379791
185,FERNANDEZ MIRANDA Francisco,Spain,Water Polo,Spain,39.3260685,-4.8379791
186,FERNANDEZ PEREZ Angel,Spain,Handball,Spain,39.3260685,-4.8379791
187,FERNANDEZ Rudy,Spain,Basketball,Spain,39.3260685,-4.8379791
188,FERNANDEZ Sergio,Spain,Athletics,Spain,39.3260685,-4.8379791
189,FERNANDEZ STEINER Liliana,Spain,Beach Volleyball,Spain,39.3260685,-4.8379791
190,FERRER-SALAT Beatriz,Spain,Equestrian,Spain,39.3260685,-4.8379791
191,FERRERAS SANZ Berta,Spain,Artistic Swimming,Spain,39.3260685,-4.8379791
192,FIGUERAS TREJO Adrian,Spain,Handball,Spain,39.3260685,-4.8379791
193,FIGUEROA Julia,Spain,Judo,Spain,39.3260685,-4.8379791
194,FONTES Ignacio,Spain,Athletics,Spain,39.3260685,-4.8379791
195,FORCA ARIZA Judith,Spain,Water Polo,Spain,39.3260685,-4.8379791
196,FRAILE MATARRANZ Omar,Spain,Cycling Road,Spain,39.3260685,-4.8379791
197,GAITERO MARTIN Alberto,Spain,Judo,Spain,39.3260685,-4.8379791
198,GALIMANY Marta,Spain,Athletics,Spain,39.3260685,-4.8379791
199,GALLEGO Sara,Spain,Athletics,Spain,39.3260685,-4.8379791
200,GALVEZ Fatima,Spain,Shooting,Spain,39.3260685,-4.8379791
201,GARCIA BOISSIER Nicolas,Spain,Diving,Spain,39.3260685,-4.8379791
202,GARCIA CANELLAS Margarita Victo,Spain,Cycling Road,Spain,39.3260685,-4.8379791
203,GARCIA Cayetano,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
204,GARCIA Diego,Spain,Athletics,Spain,39.3260685,-4.8379791
205,GARCIA Eric,Spain,Football,Spain,39.3260685,-4.8379791
206,GARCIA GODOY Maica,Spain,Water Polo,Spain,39.3260685,-4.8379791
207,GARCIA GRAU Begona,Spain,Hockey,Spain,39.3260685,-4.8379791
208,GARCIA Jesus Angel,Spain,Athletics,Spain,39.3260685,-4.8379791
209,GARCIA MARTINEZ Rocio del Alba,Spain,Cycling Mountain Bike,Spain,39.3260685,-4.8379791
210,GARCIA MENA Jose Antonio,Spain,Equestrian,Spain,39.3260685,-4.8379791
211,GARCIA ORDONEZ Javier,Spain,Rowing,Spain,39.3260685,-4.8379791
212,GARCIA ROBLEDO Antonio,Spain,Handball,Spain,39.3260685,-4.8379791
213,GARCIA SAIZ Nicolas,Spain,Swimming,Spain,39.3260685,-4.8379791
214,GARCIA Samuel,Spain,Athletics,Spain,39.3260685,-4.8379791
215,GARCIA URZAINQUI Marina,Spain,Swimming,Spain,39.3260685,-4.8379791
216,GARCIA-CARO Laura,Spain,Athletics,Spain,39.3260685,-4.8379791
217,GARRIGOS Francisco,Spain,Judo,Spain,39.3260685,-4.8379791
218,GARUBA Usman,Spain,Basketball,Spain,39.3260685,-4.8379791
219,GASOL Marc,Spain,Basketball,Spain,39.3260685,-4.8379791
220,GASOL SAEZ Pau,Spain,Basketball,Spain,39.3260685,-4.8379791
221,GAVINO GONZALEZ Francisco,Spain,Equestrian,Spain,39.3260685,-4.8379791
222,GAVIRA COLLADO Adrian,Spain,Beach Volleyball,Spain,39.3260685,-4.8379791
223,GERMADE Rodrigo,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
224,GIL Bryan,Spain,Football,Spain,39.3260685,-4.8379791
225,GIL Laura,Spain,Basketball,Spain,39.3260685,-4.8379791
226,GINE PATSI Xantal,Spain,Hockey,Spain,39.3260685,-4.8379791
227,GINES LOPEZ Alberto,Spain,Sport Climbing,Spain,39.3260685,-4.8379791
228,GODOY CONTRERAS Anna,Spain,Triathlon,Spain,39.3260685,-4.8379791
229,GOMEZ ABELLO Aleix,Spain,Handball,Spain,39.3260685,-4.8379791
230,GOMEZ Jesus,Spain,Athletics,Spain,39.3260685,-4.8379791
231,GOMEZ NOYA Javier,Spain,Triathlon,Spain,39.3260685,-4.8379791
232,GONZALEZ de CASTEJON Enrique,Spain,Hockey,Spain,39.3260685,-4.8379791
233,GONZALEZ Hugo,Spain,Swimming,Spain,39.3260685,-4.8379791
234,GONZALEZ LOPEZ Irene,Spain,Water Polo,Spain,39.3260685,-4.8379791
235,GONZALEZ Marina,Spain,Artistic Gymnastics,Spain,39.3260685,-4.8379791
236,GONZALEZ ORTEGA Lara,Spain,Handball,Spain,39.3260685,-4.8379791
237,GONZALEZ Pedri,Spain,Football,Spain,39.3260685,-4.8379791
238,GONZALEZ Raquel,Spain,Athletics,Spain,39.3260685,-4.8379791
239,GRANADOS ORTEGA Alvaro,Spain,Water Polo,Spain,39.3260685,-4.8379791
240,GRANDA ROQUE Angel,Spain,Sailing,Spain,39.3260685,-4.8379791
241,GUARDIOLA VILLAPLANA Gedeon,Spain,Handball,Spain,39.3260685,-4.8379791
242,GUERRA Javier,Spain,Athletics,Spain,39.3260685,-4.8379791
243,GUERRERO Esther,Spain,Athletics,Spain,39.3260685,-4.8379791
244,GURBINDO MARTINEZ Eduardo,Spain,Handball,Spain,39.3260685,-4.8379791
245,GUTIERREZ BERMEJO Jennifer Maria,Spain,Handball,Spain,39.3260685,-4.8379791
246,HEREDIA VIVES Aleix,Spain,Modern Pentathlon,Spain,39.3260685,-4.8379791
247,HERNANDEZ SERRADOR Ainhoa,Spain,Handball,Spain,39.3260685,-4.8379791
248,HERNANGOMEZ GEUER Willy,Spain,Basketball,Spain,39.3260685,-4.8379791
249,HERNANGOMEZ Juancho,Spain,Basketball,Spain,39.3260685,-4.8379791
250,HERRERA ALLEPUZ Pablo,Spain,Beach Volleyball,Spain,39.3260685,-4.8379791
251,HORTA POMBO Caetano,Spain,Rowing,Spain,39.3260685,-4.8379791
252,HUSILLOS Oscar,Spain,Athletics,Spain,39.3260685,-4.8379791
253,IGLESIAS MARCOS Alvaro,Spain,Hockey,Spain,39.3260685,-4.8379791
254,IGLESIAS MARCOS Belen,Spain,Hockey,Spain,39.3260685,-4.8379791
255,IZAGIRRE INSAUSTI Gorka,Spain,Cycling Road,Spain,39.3260685,-4.8379791
256,IZAGIRRE INSAUSTI Jon,Spain,Cycling Road,Spain,39.3260685,-4.8379791
257,JACOME Antia,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
258,JAINAGA Odei,Spain,Athletics,Spain,39.3260685,-4.8379791
259,JALIDOV GAFUROVA Gazimagomed Scham.,Spain,Boxing,Spain,39.3260685,-4.8379791
260,JIMENEZ Andrea,Spain,Athletics,Spain,39.3260685,-4.8379791
261,JURADO LOPEZ Severo,Spain,Equestrian,Spain,39.3260685,-4.8379791
262,KATIR Mohamed,Spain,Athletics,Spain,39.3260685,-4.8379791
263,LAMDASSEM Ayad,Spain,Athletics,Spain,39.3260685,-4.8379791
264,LARUMBE GONFAUS Marc,Spain,Water Polo,Spain,39.3260685,-4.8379791
265,LEITON ARRONES Paula,Spain,Water Polo,Spain,39.3260685,-4.8379791
266,LEON Danny,Spain,Skateboarding,Spain,39.3260685,-4.8379791
267,LLAVADOR Carlos,Spain,Fencing,Spain,39.3260685,-4.8379791
268,LLEONART BLANCO Xavier,Spain,Hockey,Spain,39.3260685,-4.8379791
269,LLORENTE David,Spain,Canoe Slalom,Spain,39.3260685,-4.8379791
270,LLULL Sergio,Spain,Basketball,Spain,39.3260685,-4.8379791
271,LOPEZ GARCIA Maria,Spain,Hockey,Spain,39.3260685,-4.8379791
272,LOPEZ HERRERO Marta,Spain,Handball,Spain,39.3260685,-4.8379791
273,LOPEZ JIMENEZ Soledad,Spain,Handball,Spain,39.3260685,-4.8379791
274,LOPEZ Miguel Angel,Spain,Athletics,Spain,39.3260685,-4.8379791
275,LOPEZ MARRA Iago,Spain,Sailing,Spain,39.3260685,-4.8379791
276,LOPEZ PINEDO Daniel,Spain,Water Polo,Spain,39.3260685,-4.8379791
277,LOYO Elena,Spain,Athletics,Spain,39.3260685,-4.8379791
278,MAGAZ MEDRANO Alicia,Spain,Hockey,Spain,39.3260685,-4.8379791
279,MALLARACH GUELL Blai,Spain,Water Polo,Spain,39.3260685,-4.8379791
280,MANCHON Blanca,Spain,Sailing,Spain,39.3260685,-4.8379791
281,MAQUEDA PENO Jorge,Spain,Handball,Spain,39.3260685,-4.8379791
282,MARTIN Alvaro,Spain,Athletics,Spain,39.3260685,-4.8379791
283,MARTIN BERENGUER Carmen Dolores,Spain,Handball,Spain,39.3260685,-4.8379791
284,MARTINEZ Alberto,Spain,Marathon Swimming,Spain,39.3260685,-4.8379791
285,MARTINEZ Asier,Spain,Athletics,Spain,39.3260685,-4.8379791
286,MARTINEZ GARCIA Raul,Spain,Taekwondo,Spain,39.3260685,-4.8379791
287,MARTINEZ Lois Maikel,Spain,Athletics,Spain,39.3260685,-4.8379791
288,MARTINEZ Pablo,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
289,MARTOS Sebastian,Spain,Athletics,Spain,39.3260685,-4.8379791
290,MAS DEPARES Silvia,Spain,Sailing,Spain,39.3260685,-4.8379791
291,MAS PUJADAS Meritxell,Spain,Artistic Swimming,Spain,39.3260685,-4.8379791
292,MATA PEREZ Andres Eduardo,Spain,Weightlifting,Spain,39.3260685,-4.8379791
293,MATEO Daniel,Spain,Athletics,Spain,39.3260685,-4.8379791
294,MATEU Jaime,Spain,Skateboarding,Spain,39.3260685,-4.8379791
295,MAYO Carlos,Spain,Athletics,Spain,39.3260685,-4.8379791
296,MECHAAL Adel,Spain,Athletics,Spain,39.3260685,-4.8379791
297,MEJIAS ZANETTI Candela,Spain,Hockey,Spain,39.3260685,-4.8379791
298,MENDEZ Laura,Spain,Athletics,Spain,39.3260685,-4.8379791
299,MERINO Mikel,Spain,Football,Spain,39.3260685,-4.8379791
300,MINGUEZA Oscar,Spain,Football,Spain,39.3260685,-4.8379791
301,MIR Nicolau,Spain,Artistic Gymnastics,Spain,39.3260685,-4.8379791
302,MIR Rafa,Spain,Football,Spain,39.3260685,-4.8379791
303,MIRANDA Juan,Spain,Football,Spain,39.3260685,-4.8379791
304,MIRON Javier,Spain,Athletics,Spain,39.3260685,-4.8379791
305,MOLA Mario,Spain,Triathlon,Spain,39.3260685,-4.8379791
306,MORA VEDRI Sebastian,Spain,Cycling Track,Spain,39.3260685,-4.8379791
307,MORROS de ARGILA Viran,Spain,Handball,Spain,39.3260685,-4.8379791
308,MUGURUZA Garbine,Spain,Tennis,Spain,39.3260685,-4.8379791
309,MUNARRIZ EGANA Alberto,Spain,Water Polo,Spain,39.3260685,-4.8379791
310,MUNOZ Azahara,Spain,Golf,Spain,39.3260685,-4.8379791
311,NAVARRO GIMENEZ Silvia,Spain,Handball,Spain,39.3260685,-4.8379791
312,NDOUR Astou,Spain,Basketball,Spain,39.3260685,-4.8379791
313,OLIVA ISERN Georgina,Spain,Hockey,Spain,39.3260685,-4.8379791
314,OLIVA ISERN Roc,Spain,Hockey,Spain,39.3260685,-4.8379791
315,OLMO Dani,Spain,Football,Spain,39.3260685,-4.8379791
316,ORDONEZ Saul,Spain,Athletics,Spain,39.3260685,-4.8379791
317,ORTEGA Orlando,Spain,Athletics,Spain,39.3260685,-4.8379791
318,ORTIZ Bea,Spain,Water Polo,Spain,39.3260685,-4.8379791
319,OUVINA Cristina,Spain,Basketball,Spain,39.3260685,-4.8379791
320,OYARZABAL Mikel,Spain,Football,Spain,39.3260685,-4.8379791
321,OZHOGINA OZHOGIN Alisa,Spain,Artistic Swimming,Spain,39.3260685,-4.8379791
322,PACHECO van RIJNSOEVER Tara,Spain,Sailing,Spain,39.3260685,-4.8379791
323,PALAU Laia,Spain,Basketball,Spain,39.3260685,-4.8379791
324,PELETEIRO Ana,Spain,Athletics,Spain,39.3260685,-4.8379791
325,PENA ABAURREA Nerea,Spain,Handball,Spain,39.3260685,-4.8379791
326,PENA Inigo,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
327,PENA Pili,Spain,Water Polo,Spain,39.3260685,-4.8379791
328,PEREZ BLANCO Jimena,Spain,Swimming,Spain,39.3260685,-4.8379791
329,PEREZ BOX Ana,Spain,Judo,Spain,39.3260685,-4.8379791
330,PEREZ de VARGAS MORENO Gonzalo,Spain,Handball,Spain,39.3260685,-4.8379791
331,PEREZ LAGUNAS Beatriz,Spain,Hockey,Spain,39.3260685,-4.8379791
332,PEREZ Maria Isabel,Spain,Athletics,Spain,39.3260685,-4.8379791
333,PEREZ Maria,Spain,Athletics,Spain,39.3260685,-4.8379791
334,PEREZ Marta,Spain,Athletics,Spain,39.3260685,-4.8379791
335,PEREZ POLO Javier,Spain,Taekwondo,Spain,39.3260685,-4.8379791
336,PERRONE ROCHA Felipe,Spain,Water Polo,Spain,39.3260685,-4.8379791
337,PETCHAME BONASTRE Carlota,Spain,Hockey,Spain,39.3260685,-4.8379791
